TERM,DEFINITION ,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN,Timestamp
DHCP T2 Timer (Rebinding),"The second internal timer in the DHCP (Dynamic Host Configuration Protocol) lease cycle—defaulting to 87.5% (7/8ths) of the total lease time—triggered if the original server ignored the T1 requests, causing the client to broadcast a DHCPREQUEST to any available DHCP server on the network.","- Network Warning Pop-ups: Brief desktop alerts indicating the local area network connection is searching or re-identifying.
- IP (Internet Protocol) Address Shifting: The client suddenly binds to a completely different IP pool or subnet if a secondary, unauthorized (rogue) DHCP server answers the broadcast first.
","- Audit Broadcast Domains: Check that routers and switches are properly configured to forward network broadcasts or that IP Helper/DHCP Relay agents are running correctly to pass the broadcast to other subnets.
- Identify Rogue Servers: Run tools like ""dhcploc.exe"" or look at Wireshark captures to see if an unexpected server IP address is responding to the client's broadcast rebind request.
- Fix Server High Availability (HA): If utilizing a split-scope or failover cluster, verify that the secondary DHCP partner server is online and has available leases to fulfill the rebind request.
",Networking,Network Services / Connection Timers,CORE 1,NETWORKING,,5/27/2026 14:58:21
DHCP Expiration,"The final state reached when 100% of the lease time has elapsed without a successful renewal or rebind, forcing the client to immediately cease using the IP (Internet Protocol) address, drop off the network, and return to the initial DHCP (Dynamic Host Configuration Protocol) Discover phase.","- Instant Disconnection: The system completely drops all active local and internet data paths the exact second the lease timer counts down to zero.
- Symptom Shift to APIPA: ""ipconfig"" immediately drops the corporate IP settings and flips to a ""169.254.x.x"" configuration.
- Application Crashes: Enterprise software solutions lose their sockets, resulting in errors like ""Network connection lost"" or ""Session expired.""","- Perform Physical Loop Diagnostics: Unplug the physical RJ-45 Ethernet cable or disconnect from the Wi-Fi SSID for 10 seconds, then reconnect to force a hard hardware renegotiation.
- Clear Stale Server Bindings: On the DHCP Server console, locate the client's MAC address under active leases, delete the expired or corrupted entry manually, and clear any bad reservations.
- Reinitialize Network Stack: Execute ""netsh int ip reset"" and restart the workstation to fix deep OS-level registry corruption within the DHCP client service files.
",Networking,Network Services / IP Addressing,CORE 1,NETWORKING,,5/27/2026 15:02:33
ACL (Access Control Lists),"A formal rule matrix that dictates resource access rights. On network routers and firewalls, it filters inbound/outbound packets based on IP (Internet Protocol) addresses, protocols, or port numbers. On a file system (such as NTFS (New File Transfer System), it lists the specific explicit folder permissions granted to individual users and security groups.","Users are blocked from opening folders essential to their daily tasks, or network workstations are unable to connect to an external server resource due to an overly restrictive rule line."," To fix a network ACL issue, trace rule order from top-to-bottom and fix any conflicting ""deny"" strings; for file permissions issues, right-click the folder, go to ""Properties > Security"", and edit the user lists to ensure the necessary permissions (Read/Write) are selected.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY,5/27/2026 15:14:20
"Action plans, CompTIA troubleshooting process","Step 4 of the official CompTIA 6-step troubleshooting methodology. After identifying the root cause of a technical problem, the technician establishes a clear plan of action to resolve the issue and implement the solution safely, ensuring no secondary systems are broken in the process.","Technicians rushing into a repair and accidentally wiping user data, causing a prolonged system blackout by executing random commands, or replacing expensive hardware components without checking logical configurations first.",Always document your plan before executing any changes; identify potential risks or side effects of your plan; schedule necessary downtime if the fix impacts production environments; make sure you have a working backup of critical data before proceeding with the fix.,"Motherboards, RAM, and CPU Diagnostics",Troubleshooting Methodologies,CORE 1,HARDWARE & NETWORK TROUBLESHOOTING,,5/27/2026 15:18:32
Active Directory: Group policies,"A feature of Microsoft Active Directory environments that allows administrators to centrally configure and enforce OS settings, security restrictions, desktop configurations, and software installation behaviors for users and computer objects across an entire domain via Group Policy Objects (GPOs).","New security restrictions or corporate desktop wallpapers fail to deploy to client machines on the network, or a machine retains old settings even after a domain policy is updated.","Run the command ""gpupdate /force"" from the Command Prompt on the client computer to manually pull the latest policies; use the ""gpresult /r"" command to generate a diagnostic report to see which GPOs are being successfully applied or blocked.",Operating Systems Management,Active Directory and Domain Services,CORE 2,,OPERATING SYSTEMS,5/27/2026 15:20:43
Active Directory: Home folder,A centralized storage directory hosted on a network file server that is automatically mapped to a specific user's account profile within Active Directory. This allows a user's primary files to be securely backed up on the server and accessible from any corporate workstation they log into.,"A user logs into a corporate computer and receives an error that their personal drive mapping (often the H: drive) is missing, or they are completely unable to open their personal work files.","Open Active Directory Users and Computers (dsa.msc), find the user's properties, and check the Profile tab to verify the network path string (\\server\share\user) is spelled correctly; ensure the network storage server is online and that share/NTFS (New File Transfer Systems) permissions grant the user full access.",Operating Systems Management,Active Directory and Domain Services,CORE 2,,OPERATING SYSTEMS,5/28/2026 2:29:30
Active Directory: Logon scripts,"Command files, batch files, or PowerShell scripts assigned to a user profile in Active Directory that run automatically every time the user logs into a domain-connected computer. These scripts are typically used to map network drives, connect printers, or push environment variables.","Shared department network folders or network printers fail to automatically appear in File Explorer when an employee boots their system, or login phases take a long time due to a script getting stuck in a loop.",Check the Active Directory user account properties profile tab to verify the exact file name and path of the login script are entered correctly; open the script file directly inside the network SYSVOL (System Volume) folder to check for syntax bugs or dead server references.,Operating Systems Management,Active Directory and Domain Services,CORE 2,,OPERATING SYSTEMS,5/28/2026 3:16:17
Active Directory: online resources,"Cloud-integrated directory components and hybrid storage spaces (such as Azure Active Directory / Microsoft Entra ID) that synchronize local on-premise Active Directory structures with cloud-based resources, applications, and authentication services.","Internal corporate employees can access local office workstations but are completely blocked from logging into cloud-hosted platforms like Microsoft 365, throwing credential validation errors.",Open the directory synchronization tool (such as Azure AD Connect) on the local domain controller; check the active synchronization log files for replication conflicts; verify that the on-premise domain controller can communicate over the internet with cloud endpoint ports.,Operating Systems Management,Active Directory and Domain Services,CORE 2,,OPERATING SYSTEMS,5/28/2026 3:37:22
Active Directory: Security groups,"Group objects within Active Directory used to bundle multiple user accounts together under a single container. This lets administrators assign folder access, file permissions, and network privileges to the entire group at once, rather than mapping permissions individually for every user.","A new hire is unable to access their department's shared network folders, or an unapproved employee can view sensitive files because user accounts are assigned permissions directly rather than using groups.","Access the Active Directory management console; locate the appropriate department security group (e.g., ""Accounting-ReadOnly""); open its properties, go to the Members tab, and add the user's account to the group; have the user log out and log back in to update their security token.",Operating Systems Management,Active Directory and Domain Services,CORE 2,,OPERATING SYSTEMS,5/28/2026 3:39:22
Active Directory: User profiles,"The collection of unique user settings, application data, desktop layouts, and document folders stored on a domain server or local system that loads every time a specific user logs in. In enterprise setups, Roaming Profiles pull this data down from a file server to whatever workstation the user sits at.","A user receives a ""You have been logged in with a temporary profile"" notification upon boot, and any files saved to the desktop vanish completely after restarting the computer.","Check network path connectivity to the profile storage server; if a local profile registry key is corrupted, open ""regedit"" and navigate to ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList"", find the profile entry ending in "".bak"", and repair or rebuild the profile mapping.",Operating Systems Management,Active Directory and Domain Services,CORE 2,,OPERATING SYSTEMS,5/28/2026 3:59:13
Active partitions,A specific drive partition on a Master Boot Record (MBR) storage disk that is marked by the user or system as the designated bootable partition. The system BIOS (Basic Input/Output System)/UEFI (Unified Extensible Firmware Interface) searches for this active flag to locate the OS bootloader files needed to start the operating system.,"Workstation fails to boot up past the POST (Power-On Self-Test) screen, throwing a black screen error message like ""Error loading operating system,"" ""Missing operating system,"" or ""No bootable device found.""","Boot the machine using a Windows installation USB drive; open the Command Prompt interface and use the ""diskpart"" utility; select the hard drive and the primary OS partition, type the command ""active ""to flag it as bootable, and exit to reboot.",Operating Systems Management,Disk Management Utilities,CORE 2,,OPERATING SYSTEMS,5/28/2026 4:34:54
Adapters: USB-to-Ethernet adapters,"An external peripheral adapter plug that converts a computer's universal serial bus (USB) port into an RJ-45 physical Ethernet network interface, commonly used to provide wired network access to slim laptops that lack a built-in Ethernet port.","Laptop fails to establish a wired network link when an Ethernet cable is plugged into the adapter, showing a ""Network cable unplugged"" status or an unrecognized device error in Device Manager.",Unplug the adapter and try a different physical USB (Univer port on the machine; check Device Manager to see if the device shows up with a yellow warning triangle; download and install the official hardware drivers from the adapter manufacturer's website.,Mobile Devices and Mobile Hardware,Laptop Accessories and Ports,CORE 1,MOBILE DEVICES,,5/28/2026 4:59:13
Adapters: video adapters,"Also known as a graphics card, GPU (Graphics Processing Unit), or display adapter. An internal expansion card or integrated motherboard chip responsible for translating graphical computer data into a visual signal that can be sent over cables and displayed on an external monitor.","Workstation screen flickers constantly, artifacts or weird lines appear across the display, games and applications crash due to driver errors, or the monitor remains completely black while the PC power lights turn on.","Ensure the video cable is firmly connected to the correct graphics card port rather than the motherboard's integrated port; boot into Safe Mode, open Device Manager, right-click the video adapter, and choose Update driver or perform a clean install of the latest vendor software.",Peripherals and Hardware,Internal Expansion Cards,CORE 1,HARDWARE,,5/28/2026 5:32:11
Additive manufacturing," The industrial engineering term for 3D printing. It refers to the process of building an object layer-by-layer from a digital 3D model blueprint, contrasting with traditional subtractive manufacturing methods (like milling or carving) that cut away material from a solid block.","Physical structural flaws in printed 3D models, rough layers, or objects failing to match the precise scale measurements of the digital design file.",Open your slicing software utility tool to check the G-code (geometric code) path configurations; optimize layer height and infill density settings; ensure the 3D printer's structural frame components are rigid and calibrated correctly before printing.,Peripherals and Hardware,3D printers,CORE 1,HARDWARE,,5/28/2026 5:41:52
"Addressing: IPv4 (Internet Protocol version 4), loopback addresses","A special reserved IPv4 address range (127.0.0.1 through 127.255.255.254, with ""127.0.0.1"" used as the standard default) that routes network traffic back to the local host machine. This allows a technician to test if a computer's local TCP/IP network stack is functioning correctly without needing a physical network connection.","Running a ping command to ""127.0.0.1"" returns an error message like ""Ping request could not find host"" or ""General failure,"" indicating the operating system's software network stack is broken.","Open the Command Prompt and type ping ""127.0.0.1""; if the ping fails, reset the network configurations by running the command ""netsh int ip reset"" followed by a complete reboot of the operating system.",Network Infrastructure and Media,IP Addressing (IPv4),CORE 1,NETWORKING,,5/28/2026 6:12:59
Addressing: IPv6 (Internet Protocol version 6),"The current standard internet protocol addressing system designed to replace IPv4. IPv6 uses a 128-bit address format written as eight groups of four hexadecimal digits separated by colons (e.g., 2001:db8:0000:0000:0000:ff00:42:8329), providing a massive pool of unique addresses to accommodate global internet growth.","Workstation cannot connect to modern IPv6-only web services, or local area network configurations show a ""Link-local IPv6 Address"" beginning with ""fe80::"" but lack a global routing address.","Check your network adapter properties to ensure the Internet Protocol Version 6 (TCP/IPv6) checkbox is enabled; run ""ipconfig /all"" to review active configurations; verify that your internet service provider (ISP) and local edge router have IPv6 routing protocols turned on.",Network Infrastructure and Media,IP Addressing (IPv6),CORE 1,NETWORKING,,5/28/2026 6:23:49
Administrative shares,"Hidden network shares created automatically by Windows NT-based operating systems (such as ""C$"", ""D$"", or ""ADMIN$"") that allow system administrators to remotely access root hard drive volumes and system folders. They always end with a dollar sign (""$""), which makes them completely invisible to standard users browsing the network.","An administrator receives an ""Access Denied"" or ""Network path not found"" error when trying to remotely connect to a workstation's root drive via a UNC path (e.g., trying to browse to ""\\ComputerName\C$"").","Verify that the ""File and Printer Sharing"" service is enabled on the remote computer's firewall; ensure you are authenticating with valid domain administrator credentials; check the Windows Registry to confirm that administrative shares haven't been disabled via the ""AutoShareWks"" or ""AutoShareServer"" registry keys.",Operating Systems Management,Windows File and Folder Sharing,CORE 2,,OPERATING SYSTEMS,5/29/2026 1:04:30
Administrative Tools: Certificate Manager,"A system utility snap-in (""certlm.msc"" for local machine, ""certmgr.msc"" for current user) used to view, manage, import, and delete digital certificates. These certificates are crucial for validating cryptographic identities, securing emails, encrypting files, and verifying trusted root authorities.","Users receive severe browser warnings stating ""Your connection is not private"" or ""The security certificate presented by this website was not issued by a trusted certificate authority"" when visiting corporate intranet sites.","Open the Certificate Manager snap-in; navigate to the Trusted Root Certification Authorities folder; select Action > All Tasks > Import to manually load the correct, up-to-date corporate root certificate file provided by the network security team.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS,5/29/2026 1:42:01
Administrative Tools: Computer Management,"A comprehensive Microsoft Management Console (MMC) container (""compmgmt.msc"") that consolidates several vital administrative tools into a single interface. It provides direct access to Task Scheduler, Event Viewer, Shared Folders, Local Users and Groups, Performance Monitor, Device Manager, and Disk Management.","A technician is forced to open multiple individual windows to troubleshoot a system, resulting in slow diagnostic workflows and inefficient local system auditing.","Right-click the Windows Start menu button and select Computer Management, or type ""compmgmt.msc"" into the Run dialog box (""Win + R"") to pull up the consolidated console interface.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS,5/29/2026 1:43:23
Administrative Tools: Device Manager,"A built-in graphical tool (""devmgmt.msc"") used to manage the physical hardware components connected to a computer. It allows technicians to check hardware operational status, update device drivers, alter hardware configurations, enable/disable components, and resolve IRQ resource conflicts.","An external peripheral device (like a webcam or network card) completely fails to function, displaying a generic yellow exclamation point triangle, a red ""X"", or an ""Unknown Device"" listing in the operating system interface.","Open Device Manager; locate the malfunctioning hardware listing; right-click the item and select Update Driver to point the system to the vendor's software files; if it still fails, select Uninstall Device, unplug the peripheral, restart the computer, and plug it back in to force a hardware rescan.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS,5/29/2026 1:45:45
Administrative Tools: Event Viewer,"A core system utility (""eventvwr.msc"") that maintains detailed diagnostic logs regarding system software, security triggers, hardware events, and application operations. It categorizes logs into Critical, Error, Warning, Information, and Verbose levels to help track system stability.","The computer experiences mysterious application crashes or sudden Blue Screens of Death (BSOD) with generic stop codes, making it difficult to pinpoint the exact driver or application causing the system crash.","Launch Event Viewer; expand the Windows Logs directory tree; select the System log to look for red ""Error"" or ""Critical"" flags timestamped at the exact moment of the system crash; isolate the specific Event ID and source file listed in the details panel to target the fix.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS,5/29/2026 1:53:22
Administrative Tools: Group Policy Editor,"An advanced administrative snap-in tool (""gpedit.msc"" for local policy, ""gpmc.msc"" for Active Directory domain policy) used to configure registry-based settings, software installation behaviors, and security baselines for users and computers across a workspace environment.","Local configuration settings (such as disabling the Control Panel or forcing a specific password complexity length) fail to roll out to target workstations, leaving computers vulnerable to non-compliant configurations.","Open the Local Group Policy Editor on the machine; navigate to the specific Administrative Template path; configure the target policy setting to ""Enabled"" or ""Disabled""; run the command ""gpupdate /force"" in an elevated command prompt to instantly apply the new settings.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS,5/29/2026 2:02:19
Administrative Tools: Local Security Editor,"A specialized administrative tool (""secpol.msc"") that is a subset of the Group Policy Editor. It is focused explicitly on configuring local machine security policies, including password complexity requirements, account lockout thresholds, user rights assignments, and audit logging parameters.","Workstations permit weak user passwords (like ""12345"") or fail to log failed login attempts, making it impossible for security teams to track active brute-force password attacks on local profiles.","Open the Local Security Policy tool (""secpol.msc""); navigate to ""Account Policies > Password Policy"" to configure password length requirements; navigate to ""Local Policies > Audit Policy"" to activate tracking for successful and failed login attempts.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS,5/29/2026 2:40:45
Administrative Tools: Local Users and Groups,"A local management utility snap-in ('lusrmgr.msc"") used to create, delete, modify, and disable local user accounts and local security groups on a specific computer. (Note: This tool is omitted from basic Home editions of Windows).","A standard user profile cannot run basic administrative tools because they are missing from the local privileged groups, or stale local accounts are left active on an enterprise machine after an employee departs.","Run ""lusrmgr.msc"" as an administrator; select the Users folder to right-click and change passwords or disable accounts; select the Groups folder, double-click Administrators, and add or remove specific user accounts to update their local privilege tokens.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS,5/29/2026 3:17:11
Administrative Tools: Performance Monitor,"A diagnostic graph utility (""perfmon.msc"") used to analyze real-time system performance data. It tracks crucial system statistics over time—such as CPU usage, RAM utilization, physical disk queue lengths, and network interface speeds—by mapping specific data counters.","A computer becomes painfully sluggish or freezes up during heavy workloads, but Task Manager fails to provide enough historical context or granularity to determine if the bottleneck is caused by the storage disk, RAM capacity, or processing power.","Open Performance Monitor; click the green plus sign (""+"") to add performance counters like ""% Processor Time"" or ""Avg. Disk Queue Length""; run a Data Collector Set over a few hours to log system performance data into a report for deep bottleneck analysis.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS,5/29/2026 15:51:09
Administrative Tools: Services,"A system management console (""services.msc"") used to monitor and manage background operating processes that run independently of the logged-in user interface. It allows users to start, stop, pause, and configure the startup behavior (""Automatic, Manual, Disabled"") of critical system services.","A feature like printing fails completely, or a laptop is unable to discover any local Wi-Fi networks because the background service responsible for that task has stalled or failed to start up during system boot.","Open the Services console; locate the relevant background process (e.g., ""Print Spooler"" or ""WLAN AutoConfig""); right-click the service name and select Restart to clear out the software stall; double-click the service and verify that its Startup type is configured to Automatic.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS,5/29/2026 15:59:18
Administrative Tools: Task Scheduler,"A system utility (""taskschd.msc"") that enables users to automate routine tasks, launch applications, or run scripts automatically at specific predetermined times or when triggered by predefined system events.","Daily automated data backup scripts, disk cleanup routines, or antivirus updates fail to run consistently overnight, leaving a corporate computer out of compliance.","Launch Task Scheduler; review the Task Scheduler Library to check the status of active automation routines; examine the ""Last Run Result"" column to find error codes; double-click a task to modify the active system trigger conditions or update the administrative credentials used to run the script.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS,5/29/2026 16:09:08
Administrator accounts: Best practices,"Security guidelines for managing high-privileged user identities. Key rules include avoiding daily web browsing or email tasks on an administrator account, using standard accounts for routine tasks, renaming default administrator accounts to hide them from automated scripts, and requiring unique passwords paired with multi-factor authentication (MFA).",Widespread malware or ransomware infections successfully compromise an entire system root folder because an employee was browsing the web or checking emails while logged directly into a local administrator account.,Create standard unprivileged accounts for all employees' daily workloads; remove standard users from the local Administrators group; implement strict User Account Control (UAC) alert settings across all corporate endpoints.,Network Security & Access Control,Account Security Best Practices,CORE 2,,SECURITY,5/30/2026 1:32:19
Administrator accounts: Passwords,"The complex authentication strings used to protect elevated administrative accounts from unauthorized access. These passwords should be significantly longer and more secure than standard user passwords, and they should be regularly rotated using centralized credential managers.",Attackers successfully execute brute-force or dictionary attacks to gain full administrative control over a machine due to the local administrator password being weak or left at factory default settings.,"Use Group Policy Objects (""secpol.msc"") to enforce a high minimum password length (minimum 14+ characters) and complexity requirements; implement a Local Administrator Password Solution (LAPS) to automatically rotate unique passwords across every device on the network.",Network Security & Access Control,User Account Management,CORE 2,,SECURITY,5/30/2026 1:44:35
"Administrators, Run as","A specialized Windows context menu option that launches an application with elevated administrative privileges. It gives the application a full administrative access token, bypassing any standard user restrictions for that execution session.","A technician opens the command prompt to run system utilities like ""sfc /scannow"" or ""chkdsk"", but the utility fails to execute, returning an explicit error message stating: ""You must be an administrator running an elevated console session.""","Right-click the program shortcut icon or the Command Prompt executable, select Run as administrator from the context menu, and click ""Yes"" on the User Account Control (UAC) safety pop-up window to launch the elevated program version.",Operating Systems Management,Windows Command-Line Utilities,CORE 2,,OPERATING SYSTEMS,5/30/2026 2:07:51
ADSL (Asymmetrical DSL (Digital Subscriber Line)) connectivity,"A legacy copper wire broadband internet technology that transmits digital data over standard analog telephone lines. It is ""asymmetrical"" because it allocates more bandwidth for downloading data than for uploading data, making it suitable for standard home use.","Slow internet performance, frequent dropouts when a landline phone rings, or the DSL modem fails to establish a stable digital link with the telephone company's central switch.",Install physical inline DSL filters on all standard analog telephone lines sharing the premises to isolate high-frequency data signals from low-frequency voice lines; move the DSL modem closer to the primary phone line entry wall jack; contact the telecom provider to test the copper wire line for signal degradation.,Network Infrastructure and Media,Internet Connection Types,CORE 1,NETWORKING,,5/30/2026 2:24:59
"Advanced tab, Internet Options","A comprehensive configuration panel located inside the legacy Windows Internet Options utility applet (""inetcpl.cpl""). It houses granular parameters for managing low-level web browser settings, security settings (such as turning TLS protocols on or off), and network behavior.","Workstations fail to connect to modern secure enterprise websites because legacy encryption protocols (like SSL 3.0) are active while newer, secure protocols (like TLS 1.3) are disabled inside the operating system.","Open Internet Options via the Control Panel or type ""inetcpl.cpl"" in the Run prompt; navigate to the Advanced tab; scroll down to the Security section to check the boxes for Use TLS 1.2 and Use TLS 1.3; if settings are corrupted, click the Reset button to restore browser configurations to default values.",Operating Systems Management,Windows Control Panel Applets,CORE 2,,OPERATING SYSTEMS,5/30/2026 2:26:39
AES (Advanced Encryption Standard),"A highly secure, symmetric block cipher encryption algorithm selected by the US government to protect classified data. It operates with key lengths of 128, 192, or 256 bits and serves as the cryptographic core for modern security systems, including WPA2 (Wi-Fi Protected Access version 2)/WPA3 (Wi-Fi Protected Access version 3) wireless security and BitLocker drive encryption.","Network data or hard drive partitions are vulnerable to offline dictionary cracking attacks due to the use of outdated encryption algorithms like TKIP (Temporal Key Integrity Protocol), WEP (Wire Equivalent Privacy), or DES (Data Encryption standard) instead of AES (American Encryption Standard).",Access the wireless access point or router management panel and switch the security configuration dropdown menu from legacy TKIP over to AES (or CCMP (Counter Cipher Mode with Block Chaining Message Authentication Code Protocol (CBA-MAC))/GCMP (Galois/Counter Mode Protocol)); ensure all corporate data encryption policies mandate the use of AES-256 bit lengths for data at rest and data in transit.,Network Security & Access Control,Wireless Security Standards,CORE 2,,SECURITY,5/30/2026 2:40:40
Aging passwords,"A security account policy configuration that defines a maximum password lifetime (e.g., requiring a password change every 90 days). It helps limit the amount of time an attacker can use a stolen or compromised password before it becomes useless.","Users continue using the exact same weak password for years without rotating it, increasing the risk that leaked corporate credentials from old third-party breaches remain active and usable on the corporate network."," Open Local Security Policy (""secpol.msc"") or use Active Directory Group Policy; navigate to ""Account Policies > Password Policy""; configure the Maximum password age counter to a secure value (such as 60 or 90 days) to force automatic password updates.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY,5/30/2026 2:41:52
Air filtration,"The environmental control practice of using physical air filters (such as HEPA (High-Efficiency Particulate Air)  filters) and positive pressure ventilation inside server rooms and data centers to remove dust, lint, and airborne particles that can clog cooling systems.","Internal server hardware components overheat, cooling fans experience mechanical failures due to heavy dust accumulation, and server heat sinks become covered in thick lint blankets, leading to thermal hardware shutdowns.","Establish a preventative maintenance schedule to inspect and replace HVAC (Heating, Ventilation, and Air Conditioning) pre-filters and server rack air filtration units quarterly; use low-pressure compressed air and anti-static vacuums to clean dust accumulations out of clogged server chassis enclosures.",Network Infrastructure and Operational Procedures,Physical Environmental Safety,CORE 2,,OPERATIONAL PROCEDURES,5/30/2026 17:35:33
"AirDrop, troubleshooting",A proprietary wireless ad-hoc file transfer protocol developed by Apple that combines Bluetooth (for discovery and connection setup) and point-to-point Wi-Fi (for transferring actual file data) between Apple hardware devices.,"A user trying to send a file receives a ""No Devices Found"" error, or a neighboring Apple laptop or smartphone fails to appear in the active share window despite being held right next to the machine.","Verify that both Bluetooth and Wi-Fi radios are enabled on both devices; turn off Airplane Mode; check the target device's AirDrop receiving settings inside the Control Center to ensure it is configured to ""Everyone"" or ""Contacts Only"" instead of ""Receiving Off""; disable Personal Hotspot connections.",Mobile Devices and Mobile Hardware,Mobile Device Connectivity,CORE 1,HARDWARE & NETWORK TROUBLESHOOTING,,5/30/2026 17:39:17
Airplane mode,"A mobile operating system toggle setting that instantly disables all wireless transmission radios built into a device, including cellular voice/data connections, Wi-Fi network cards, Bluetooth transmitters, and GPS (Global Positioning System) location tracking chips.","A smartphone, tablet, or slim laptop suddenly shows an airplane icon in the status bar and is completely unable to make phone calls, browse the web, or connect to nearby wireless accessories.",Swipe down to open the mobile device notification pane or quick settings menu; look for the illuminated airplane icon and tap it once to turn off Airplane Mode; wait a few seconds for the device radios to reconnect to local cellular towers and Wi-Fi networks.,Mobile Devices and Mobile Hardware,Mobile Device Configuration,CORE 1,MOBILE DEVICES,,5/30/2026 17:40:32
Alarm systems,"An administrative physical security control method consisting of electronic sensors (motion detectors, glass-break sensors, door contact loops) deployed to protect physical facilities, server closets, and peripheral equipment racks from unauthorized entry.",Facility perimeters suffer physical breaches by unauthorized individuals outside of standard business hours without alerting security teams or generating active incidents.,Audit and test all building security zones and contact sensors regularly; integrate physical alarm triggers directly with closed-circuit television (CCTV) cameras to automatically record video when a sensor is tripped; route alarm notifications to a 24/7 centralized monitoring station.,Network Security & Access Control,Physical Security Controls,CORE 2,,SECURITY,5/30/2026 18:24:04
"Alerts, ransomware hoaxes","Deceptive tech-support popup windows or fake security warning alerts that mimic legitimate operating system or antivirus messages. They claim the machine is encrypted or infected with malware to scare users into calling a fake support number or paying money, even though no real file encryption has taken place.","A user's web browser window locks up, displaying a flashing full-screen message stating ""WARNING: Ransomware Detected! Call 1-800-XXX-XXXX immediately to save your files,"" blocking standard access to the browser interface.","Do not call the listed phone number or click any links; open Task Manager (""Ctrl + Shift + Esc""); select the web browser process from the list and click End Task to force close the window; relaunch the browser and choose not to restore the previous session tabs; clear the browser cache and run a standard scan with your legitimate local antivirus software.",Network Security & Access Control,Social Engineering and Security Threats,CORE 2,,SOFTWARE TROUBLESHOOTING,5/30/2026 18:25:51
Alphanumeric strings,"Text characters consisting of both alphabetic letters (A-Z, a-z) and numerical digits (0-9). They are widely used to construct strong authentication codes, software license activation keys, and secure account passwords.",Input verification systems reject an authentication entry or software registration setup because the string lacks characters from one of the required letter or number groups.,"Check the password complexity rules defined by your security team; ensure character input strings include a combination of capital letters, lowercase letters, and numbers to satisfy compliance checks.",Network Security & Access Control,User Account Management,CORE 2,,SECURITY,5/30/2026 20:00:34
AMD CPU,"Advanced Micro Devices Central Processing Unit. A major brand of computer processors that implements the x86-64 computing architecture. They feature a distinct physical layout compared to Intel processors, using a PGA (Pin Grid Array) layout where the delicate interface pins are located directly on the underside of the CPU chip itself, mating with sockets like AM4 or AM5.","A computer completely fails to post after a hardware upgrade, the motherboard status lights show a CPU error, or the processor cannot be physically seated into the motherboard socket.","Verify that the motherboard socket matches the explicit AMD socket generation (Intel motherboards are completely incompatible); lift the socket retention lever, align the gold triangle on the corner of the AMD CPU with the matching triangle on the socket, and gently drop the chip into place without applying force; inspect the underside of the processor to ensure no pins are bent.","Motherboards, RAM, and CPU Diagnostics",CPU Architecture and Hardware,CORE 1,HARDWARE,,5/30/2026 20:04:20
"Ampersand (&&), double",A logical execution operator used within command-line interfaces (such as the Windows Command Prompt or Linux Bash shell) to chain multiple independent commands together in a single line. The system will execute the second command only if the first command completes successfully without returning an error code.,"Multi-step command scripts or automated deployment routines halt abruptly midway, and the secondary commands fail to run because the initial command returned an unexpected error code.","Check the syntax of your combined command string (e.g., ""mkdir BackupFolder && copy c:\data\*.* c:\BackupFolder""); verify that the first command runs cleanly on its own before using the ""&&"" operator to link it to additional tasks.",Operating Systems Management,Command-Line Utilities,CORE 2,,OPERATING SYSTEMS,5/30/2026 20:08:18
"&& (double ampersand), Linux","A logical conditional execution operator used in Linux shell environments (like ""Bash"" or ""Zsh"") to chain multiple commands together on a single command line. The shell evaluates the commands sequentially from left to right, executing the subsequent command if and only if the preceding command terminates with an exit status code of exactly ""0"" (which signifies success in Linux).","Scripted automation sequences fail to finish, or a combined command pipeline silently stops midway. For example, a target directory remains completely empty after running a build chain because the compilation stage failed, preventing the deployment stage from firing.","Manually run the first command alone, and immediately check its exit status by executing ""echo $""?. If the returned value is anything other than ""0"" (e.g., ""1"" or ""127""), troubleshoot the root error of that specific command before re-chaining it with the ""&&"" operator.",Operating Systems Management,Linux Command-Line Utilities,CORE 2,,OPERATING SYSTEMS,5/30/2026 20:11:44
